id,function,sector
fabrication:seamless tube:Metal goods,fab seamless tube,Metal goods
fabrication:welded tube:Metal goods,fab welded tube,Metal goods
fabrication:wire rod:Metal goods,fab wire rod,Metal goods
manufacturing:Domestic appliances,manufacturing,Domestic appliances
scrap:Domestic appliances,scrap,scrap
fabrication:CRC coated:Domestic appliances,fab CRC coated,Domestic appliances
fabrication:CRC galvanised:Domestic appliances,fab CRC galvanised,Domestic appliances
fabrication:CRC tinned:Domestic appliances,fab CRC tinned,Domestic appliances
fabrication:HR narrow strip:Domestic appliances,fab HR narrow strip,Domestic appliances
fabrication:HRC galvanised:Domestic appliances,fab HRC galvanised,Domestic appliances
fabrication:cast iron products:Domestic appliances,fab cast iron products,Domestic appliances
fabrication:cast steel products:Domestic appliances,fab cast steel products,Domestic appliances
fabrication:cold rolled coil:Domestic appliances,fab cold rolled coil,Domestic appliances
fabrication:electrical sheet:Domestic appliances,fab electrical sheet,Domestic appliances
fabrication:heavy sections:Domestic appliances,fab heavy sections,Domestic appliances
fabrication:hot rolled bar:Domestic appliances,fab hot rolled bar,Domestic appliances
fabrication:hot rolled coil:Domestic appliances,fab hot rolled coil,Domestic appliances
fabrication:light sections:Domestic appliances,fab light sections,Domestic appliances
fabrication:plate:Domestic appliances,fab plate,Domestic appliances
fabrication:rail:Domestic appliances,fab rail,Domestic appliances
fabrication:reinforcing bar:Domestic appliances,fab reinforcing bar,Domestic appliances
fabrication:seamless tube:Domestic appliances,fab seamless tube,Domestic appliances
fabrication:welded tube:Domestic appliances,fab welded tube,Domestic appliances
fabrication:wire rod:Domestic appliances,fab wire rod,Domestic appliances
manufacturing:Food packaging,manufacturing,Food packaging
scrap:Food packaging,scrap,scrap
fabrication:CRC coated:Food packaging,fab CRC coated,Food packaging
fabrication:CRC galvanised:Food packaging,fab CRC galvanised,Food packaging
fabrication:CRC tinned:Food packaging,fab CRC tinned,Food packaging
fabrication:HR narrow strip:Food packaging,fab HR narrow strip,Food packaging
fabrication:HRC galvanised:Food packaging,fab HRC galvanised,Food packaging
fabrication:cast iron products:Food packaging,fab cast iron products,Food packaging
fabrication:cast steel products:Food packaging,fab cast steel products,Food packaging
fabrication:cold rolled coil:Food packaging,fab cold rolled coil,Food packaging
fabrication:electrical sheet:Food packaging,fab electrical sheet,Food packaging
fabrication:heavy sections:Food packaging,fab heavy sections,Food packaging
fabrication:hot rolled bar:Food packaging,fab hot rolled bar,Food packaging
fabrication:hot rolled coil:Food packaging,fab hot rolled coil,Food packaging
fabrication:light sections:Food packaging,fab light sections,Food packaging
fabrication:plate:Food packaging,fab plate,Food packaging
fabrication:rail:Food packaging,fab rail,Food packaging
fabrication:reinforcing bar:Food packaging,fab reinforcing bar,Food packaging
fabrication:seamless tube:Food packaging,fab seamless tube,Food packaging
fabrication:welded tube:Food packaging,fab welded tube,Food packaging
fabrication:wire rod:Food packaging,fab wire rod,Food packaging
